STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
51,001,090100,2941,+37.928224,-075.371042
51,001,090200,6156,+37.949278,-075.496086
51,001,090300,2335,+37.876477,-075.627092
51,001,090400,6234,+37.775832,-075.616493
51,001,090500,2849,+37.775138,-075.667208
51,001,090600,4401,+37.734024,-075.793103
51,001,090700,4907,+37.638642,-075.783110
51,001,090800,3336,+37.590935,-075.768180
51,001,980100,0,+37.969556,-075.291179
51,001,980200,5,+37.838676,-075.511890
51,001,990100,0,+37.595224,-075.541242
51,001,990200,0,+37.731332,-076.047814
51,003,010100,5190,+38.166697,-078.597100
51,003,010201,4664,+38.167012,-078.428647
51,003,010202,3077,+38.122152,-078.506041
51,003,010300,8098,+38.118587,-078.436220
51,003,010401,4331,+38.075959,-078.344312
51,003,010402,3314,+37.991094,-078.383346
51,003,010500,4543,+38.039150,-078.439272
51,003,010601,5817,+38.079393,-078.465926
51,003,010602,2697,+38.060750,-078.458577
51,003,010700,6145,+38.075820,-078.490107
51,003,010800,5325,+38.068009,-078.505347
51,003,010901,1900,+38.049207,-078.514712
51,003,010902,3191,+38.035397,-078.518432
51,003,010903,2613,+38.037263,-078.507845
51,003,011000,6292,+38.060839,-078.586792
51,003,011100,7024,+38.065447,-078.694546
51,003,011201,4092,+38.010055,-078.732341
51,003,011202,3413,+37.984358,-078.583758
51,003,011301,5390,+37.932830,-078.488096
51,003,011302,3765,+38.006108,-078.521553
51,003,011303,3738,+38.003313,-078.496680
51,003,011400,4351,+37.826608,-078.592379
51,005,070100,3959,+37.819756,-079.821324
51,005,080100,3362,+37.814748,-079.794686
51,005,080201,2842,+37.830411,-079.959107
51,005,080202,2629,+37.724442,-080.014647
51,005,080301,1905,+37.849131,-080.048652
51,005,080302,1553,+37.735296,-080.151245
51,007,930100,6913,+37.381948,-078.023750
51,007,930200,5777,+37.293495,-077.921148
51,009,010100,5288,+37.641422,-079.120116
51,009,010200,7238,+37.568385,-079.053133
51,009,010300,3477,+37.508768,-079.177881
51,009,010401,3375,+37.498145,-079.100566
51,009,010402,3033,+37.475060,-079.109930
51,009,010502,823,+37.413449,-079.121321
51,009,010503,2323,+37.436959,-079.130207
51,009,010504,4038,+37.445197,-079.104729
51,009,010600,2758,+37.452842,-079.067728
