"BusinessId","Business","Address1","Address2","City","County","State","Zip","PhonePrimary","URL","MailAddress","MailCity","MailState","MailZip","Email","Profiles","DateStamp","LastUpdated","fullAddress","lon","lat"
4303000,"24 Express Food Store","4007 Mount Vernon Ave","","Alexandria","Alexandria","Virginia",22305,"7038367779","","4007 Mount Vernon Ave","Alexandria","Virginia",22305,"","Food Retailer","Jan 10 2017 09:06:30:000PM","Jan 10 2017 09:06:30:000PM","4007 Mount Vernon Ave Alexandria Virginia 22305",-77.0634395,38.8427312
4303048,"4 Mile Run Mobil","4154 S Four Mile Run Dr","","Arlington","Arlington","Virginia",22206,"7038457600","http://Exxonmobilstations.Com","4154 S Four Mile Run Dr","Arlington","Virginia",22206,"","Food Retailer","Jan 10 2017 09:06:38:000PM","Jan 10 2017 09:06:38:000PM","4154 S Four Mile Run Dr Arlington Virginia 22206",-77.0990735,38.8486322
4303067,"5 Twelve Store","4116 Dale Blvd","","Woodbridge","Prince William","Virginia",22193,"7037305979","","4116 Dale Blvd","Woodbridge","Virginia",22193,"","Food Retailer","Jan 10 2017 09:06:40:000PM","Jan 10 2017 09:06:40:000PM","4116 Dale Blvd Woodbridge Virginia 22193",-77.3342933,38.6428185
4303090,"7 Market","1551 Featherstone Rd","","Woodbridge","Prince William","Virginia",22191,"7034921265","","1551 Featherstone Rd","Woodbridge","Virginia",22191,"","Food Retailer","Jan 10 2017 09:06:43:000PM","Jan 10 2017 09:06:43:000PM","1551 Featherstone Rd Woodbridge Virginia 22191",-77.2649854,38.6335977
4303641,"7-Eleven","207 W Shirley Ave","","Warrenton","Fauquier","Virginia",20186,"5403479350","http://7-Eleven.Com","207 W Shirley Ave","Warrenton","Virginia",20186,"","Food Retailer","Jan 10 2017 09:08:13:000PM","Jan 10 2017 09:08:13:000PM","207 W Shirley Ave Warrenton Virginia 20186",-77.8048075,38.7128424
4303642,"7-Eleven","5059 Lee Hwy","","Warrenton","Fauquier","Virginia",20187,"5403475044","http://7-Eleven.Com","5059 Lee Hwy","Warrenton","Virginia",20187,"","Food Retailer","Jan 10 2017 09:08:13:000PM","Jan 10 2017 09:08:13:000PM","5059 Lee Hwy Warrenton Virginia 20187",-77.7119195,38.7670074
4303643,"7-Eleven","7325 Comfort Inn Dr","","Warrenton","Fauquier","Virginia",20187,"5403477880","http://7-Eleven.Com","7325 Comfort Inn Dr","Warrenton","Virginia",20187,"","Food Retailer","Jan 10 2017 09:08:13:000PM","Jan 10 2017 09:08:13:000PM","7325 Comfort Inn Dr Warrenton Virginia 20187",-77.7726095,38.731959
4303323,"7-Eleven","1111 Elden St","","Herndon","Fairfax","Virginia",20170,"7036893601","http://7-Eleven.Com","1111 Elden St","Herndon","Virginia",20170,"","Food Retailer","Jan 10 2017 09:07:19:000PM","Jan 10 2017 09:07:19:000PM","1111 Elden St Herndon Virginia 20170",-77.397013,38.9647958
4303324,"7-Eleven","1115 Crestview Dr","","Herndon","Fairfax","Virginia",20170,"7036893604","http://7-Eleven.Com","1115 Crestview Dr","Herndon","Virginia",20170,"","Food Retailer","Jan 10 2017 09:07:19:000PM","Jan 10 2017 09:07:19:000PM","1115 Crestview Dr Herndon Virginia 20170",-77.3989637,38.9808378
4303325,"7-Eleven","11501 Leesburg Pike","","Herndon","Fairfax","Virginia",20170,"7034500248","http://7-Eleven.Com","11501 Leesburg Pike","Herndon","Virginia",20170,"","Food Retailer","Jan 10 2017 09:07:19:000PM","Jan 10 2017 09:07:19:000PM","11501 Leesburg Pike Herndon Virginia 20170",-77.3436142,38.9988393
