BusinessId,Business,Address1,Address2,City,County,State,Zip,PhonePrimary,URL,MailAddress,MailCity,MailState,MailZip,Email,Profiles,DateStamp,LastUpdated
4915320,Albemarle Farmers Market,Towncenter Lane,,Charlottesville,Albemarle,Virginia,22911,4345312733,,,Charlottesville,Virginia,,albemarlemarket@gmail.com,Farmers Market,Mar 10 2019 04:27:29:687AM,Jul  8 2020 10:25:35:000AM
419887,Alexandria Farmers Market,301 King Street,,Alexandria,Alexandria,Virginia,22314,7038384770,,,Alexandria,Virginia,,,Farmers Market,Mar 27 2009 10:40:37:420AM,May 21 2010 11:29:57:000AM
3624396,Amelia Barter Town Farmers' Market,Amelia County Fairgrounds,16501 Five Forks Rd,Amelia Court House,Amelia,Virginia,23002,8045612481,,,Amelia Court House,Virginia,,laurab08@vt.edu,Farmers Market,Oct 12 2015 05:25:31:083PM,Oct 12 2015 05:27:29:000PM
419896,Annandale Farmers Market,6621 Columbia Pike,,Annandale,Fairfax,Virginia,22003,7036420128,www.fairfaxcounty.gov/parks/farm-mkt.htm,,Annandale,Virginia,,,Farmers Market,Mar 27 2009 12:24:53:830PM,Jul  8 2020 10:27:11:000AM
4915190,Archwood Green Barns,P.O. Box 269,,The Plains,Fauquier,Virginia,20198,540-253-5289,,,The Plains,Virginia,,archwoodgreenbarn@gmail.com,Farmers Market,Mar 10 2019 04:24:18:567AM,Jul  8 2020 10:29:22:000AM
419910,Archwood Green Barns Farmers Market,Route 245 & I-66 (Exit 31),,The Plains,Fauquier,Virginia,20198,5402535289,,,The Plains,Virginia,,,Farmers Market,Mar 27 2009 01:47:21:813PM,May 24 2010 08:32:09:000AM
419889,Arlington Farmers' Market,N. Courthouse Rd. and N. 14th St.,,Arlington,Arlington,Virginia,22201,7032286423,www.arlingtonfarmersmarket.com,,Arlington,Virginia,,,Farmers Market,Mar 27 2009 10:51:00:320AM,May 21 2010 11:33:24:000AM
3624079,Ashburn Farmers Market,One Loudoun,North end of Exchange St.,Ashburn,Loudoun,Virginia,20147,5404548089,,,Ashburn,Virginia,,info@loudounfarmersmarkets.org,Farmers Market,Jul 23 2015 08:32:46:507AM,Jun  4 2020 12:55:04:000PM
419927,Basye Farmers Market,Route 263,,Basye,Shenandoah,Virginia,22816,5409848973,,,Basye,Virginia,,,Farmers Market,Mar 27 2009 03:55:28:580PM,May 24 2010 08:47:27:000AM
4916575,Blacksburg Farmers Market & Market Square Park,100 Draper Road,,Blacksburg,Montgomery,Virginia,24060,5402503335,http://blacksburgfarmersmarket.com/,,Blacksburg,Virginia,,bbfarmersmarket@gmail.com,Farmers Market,Apr  1 2020 05:50:49:593PM,May 26 2020 01:03:46:000PM
4913675,Blue Ridge Mountain Bounty LLC,P.O. Box 173,,Ivanhoe,Wythe,Virginia,24350,5404162762,http://www.brmbva.com,,Ivanhoe,Virginia,,catherine@brmbva.com,"Buyer, Farmers Market, Food Retailer",Jun 26 2017 08:47:07:147AM,Jun 26 2017 09:16:05:000AM
3624766,Botetourt Farmers Market,Daleville Town Center,90 Town Center Blvd,Daleville,Botetourt,Virginia,24083,5405563014,www.facebook.com/botetourtfarmersmarket,,Daleville,Virginia,,manager@botetourtfarmersmarket.org,Farmers Market,Feb  1 2016 10:04:13:223AM,Jul  8 2020 10:45:52:000AM
3624125,Bowling Green Community Farmers Market,117 Butler Street,P. O. Box 468,Bowling Green,Caroline,Virginia,22427,8046336212,,,Bowling Green,Virginia,,townmanager@townofbowlinggreen.com,Farmers Market,Jul 31 2015 03:05:48:393PM,Jul  8 2020 10:47:55:000AM
3624080,Brambleton Farmers Market,Emberbrook Circle,"Brambleton, VA",Ashburn,Loudoun,Virginia,20148,5404548089,,,Ashburn,Virginia,,info@loudounfarmersmarkets.org,Farmers Market,Jul 23 2015 08:41:27:960AM,Jul  8 2020 10:48:41:000AM
