County;Name;Address;Phone number;Website;Info;;;;;;;;;;;;;;;;;;;;;
Loudon;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dulles South Food Pantry;24757 Arcola Mills Dr, Dulles, VA 20166;703-507-2795;https://www.dsfp.org/;Open Wednesdays by appointment. Serves the Dulles South community within the school boundaries of Freedom H.S., John Champe H.S., Briar Woods H.S., Rock Ridge H.S. or Independence H.S. Guests may visit twice a month.;;;;;;;;;;;;;;;;;;;;;
;Loudoun Hunger Relief;750 Miller Dr SE a1, Leesburg, VA 20175;703-777-5911;https://www.loudounhunger.org/;"Drop in Pantry hours: Wednesday, Friday, Saturday 10:00am - 12:45pm; Or by appointment Tuesday 10am-12:45pm, Tuesday and Thursday evenings 5:45-7:15pm. Patrons may visit twice a month. Serves Loudoun residents only.";;;;;;;;;;;;;;;;;;;;;
;Seven Loaves Services;15 W Washington St, Middleburg, VA 20117;540-687-3489;https://www.sevenloavesmiddleburg.org/;"Pantry hours: Monday, Wednesday and Friday 10am - 12pm; Clients may visit once a week and there are no geographical restrictions.";;;;;;;;;;;;;;;;;;;;;
;Tree Of Life Center;210 N 21st St unit d, Purcellville, VA 20132;540-441-7920;http://tolministries.org/;Free dinner every Thursday 5:30-6:30 pm. Bring the family. Free English class after dinner!;;;;;;;;;;;;;;;;;;;;;
;Messiah’s Market – Community Church;19790 Ashburn Road, Ashburn, VA 20147;571-209-5000;http://www.communitychurch.cc/;Pantry hours: Every Tuesday from 7pm to 8pm.;;;;;;;;;;;;;;;;;;;;;
;St. James Episcopal Church;14 Cornwall St. NE – Leesburg, VA 20176;703-777-1124;NA;Free meal every Monday 5:00pm – 7:00pm;;;;;;;;;;;;;;;;;;;;;
;Sterling Park Baptist Church;501 N. York Road, Sterling, VA 20164;703-430-2527;NA;Pantry hours: Food pantry is open for distribution on the last Tuesday afternoon of every month from 2:45 through 3:30 pm. If you have no transportation, please contact the church office.;;;;;;;;;;;;;;;;;;;;;
;Sterling United Methodist – Grace Ministry;304 East Church Road, Sterling, VA 20164;703-430-6455;NA;Distribution the second Saturday of the month. Doors open at 7am. Distribution is from 8:00am – 10:00am.;;;;;;;;;;;;;;;;;;;;;
;LINK Inc;Herndon, VA 20170;703-437-1776;https://www.linkagainsthunger.org/;Provides emergency food to people in Herndon, Sterling, and Ashburn. For a food request, please call and leave a message in the mailbox for food assistance. A LINK volunteer will call and schedule a delivery as appropriate.;;;;;;;;;;;;;;;;;;;;;
;Reston Bible Church;45650 Oakbrook Ct, Sterling, VA 20166;703-404-5010;https://www.restonbible.org/;Pantry hours: Every Wednesday from 11:30am-1:00pm Serves all of Virginia.;;;;;;;;;;;;;;;;;;;;;
;Catholic Charities Diocese aka Leesburg Regional Office Food Pantry;316 E Market St, Leesburg, VA 20176;703-443-2481;https://www.ccda.net/need-help/food/food-pantries/leesburg-food-pantry/;Pantry hours: Monday - Thursday, 9:30am to 2:30 pm First and Third Saturdays – 9:30 am to 12:00 pm;;;;;;;;;;;;;;;;;;;;;
