"BusinessId","Business","Address1","Misc Address Info","City","County","State","Zip","PhonePrimary","URL","MailAddress","MailCity","MailState","MailZip","Email","Profiles","DateStamp","LastUpdated","fullAddress"
419896,"Annandale Farmers Market","6621 Columbia Pike","","Annandale","Fairfax","Virginia",22003,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Annandale","Virginia",NA,"","Farmers Market","Mar 27 2009 12:24:53:830PM","Jul  8 2020 10:27:11:000AM","6621 Columbia Pike Annandale Virginia 22003"
419889,"Arlington Farmers' Market","N. Courthouse Rd. and N. 14th St.","","Arlington","Arlington","Virginia",22201,"7032286423","www.arlingtonfarmersmarket.com","","Arlington","Virginia",NA,"","Farmers Market","Mar 27 2009 10:51:00:320AM","May 21 2010 11:33:24:000AM","N. Courthouse Rd. and N. 14th St. Arlington Virginia 22201"
3624079,"Ashburn Farmers Market","One Loudoun","North end of Exchange St.","Ashburn","Loudoun","Virginia",20147,"5404548089","","","Ashburn","Virginia",NA,"info@loudounfarmersmarkets.org","Farmers Market","Jul 23 2015 08:32:46:507AM","Jun  4 2020 12:55:04:000PM","One Loudoun Ashburn Virginia 20147"
3624080,"Brambleton Farmers Market","Emberbrook Circle","Brambleton, VA","Ashburn","Loudoun","Virginia",20148,"5404548089","","","Ashburn","Virginia",NA,"info@loudounfarmersmarkets.org","Farmers Market","Jul 23 2015 08:41:27:960AM","Jul  8 2020 10:48:41:000AM","Emberbrook Circle Ashburn Virginia 20148"
4916570,"Buckland Farm Market","4484 Lee Highway","","Warrenton","Fauquier","Virginia",20187,"5713414739","Www.bucklandfarmmarket.com","","Warrenton","Virginia",NA,"bucklandfarmmarket@gmail.com","Farmers Market","Apr  1 2020 11:37:05:093AM","Apr  1 2020 09:38:39:000AM","4484 Lee Highway Warrenton Virginia 20187"
419898,"Burke Farmers Market","5671 Roberts Pkwy.","","Burke","Fairfax","Virginia",22015,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Burke","Virginia",NA,"","Farmers Market","Mar 27 2009 12:32:24:360PM","Jul  8 2020 10:58:50:000AM","5671 Roberts Pkwy. Burke Virginia 22015"
3624081,"Cascades Farmers Market","21060 Whitfield Place","Senior Center Parking Lot","Sterling","Loudoun","Virginia",20165,"5404548089","","","Sterling","Virginia",NA,"","Farmers Market","Jul 23 2015 08:46:40:250AM","Apr  1 2020 01:10:49:000PM","21060 Whitfield Place Sterling Virginia 20165"
4915548,"Cascades Sunday Farmers Market (Year-round)","21060 Whitfield Place","","Sterling","Loudoun","Virginia",20165,"540-454-8089","loudounfarmersmarkets.org","","Sterling","Virginia",NA,"rowens.lvhmc@yahoo.com","Farmers Market","Mar 10 2019 04:33:23:103AM","Jul 16 2019 02:21:10:000PM","21060 Whitfield Place Sterling Virginia 20165"
419891,"Columbia Pike Farmers Market","S. Walter Reed Drive & Columbia Pike","","Arlington","Arlington","Virginia",22204,"7038922776","www.columbiapikepartnership.com/MARKET/index_E.html","","Arlington","Virginia",NA,"","Farmers Market","Mar 27 2009 11:12:27:153AM","May 21 2010 11:35:23:000AM","2705 Columbia Pike Arlington, Virginia 22204"
419895,"Community Farmers Market","10501 Main Street","","Fairfax","Fairfax City","Virginia",22030,"5404398326","www.FairfaxSaturdayMarket.com","","Fairfax","Virginia",NA,"","Farmers Market","Mar 27 2009 12:16:45:987PM","May 21 2010 11:45:47:000AM","10501 Main Street Fairfax Virginia 22030"
419925,"Dale City Farmers Market","Dale Boulevard","","Woodbridge","Prince William","Virginia",22193,"7036707112","","","Woodbridge","Virginia",NA,"","Farmers Market","Mar 27 2009 03:37:45:197PM","May 24 2010 08:45:53:000AM","Dale Boulevard Woodbridge Virginia 22193"
4913922,"Exit 40 Farmers Market","15225 Heathcote Blvd","","Haymarket","Prince William","Virginia",20169,"7037950208","exit40farmersmarket.com","","Haymarket","Virginia",NA,"elizabeth@farmtotablesolutions.com","Farmers Market","Sep 28 2017 02:29:08:140PM","Apr 21 2019 05:33:19:000PM","15225 Heathcote Blvd Haymarket Virginia 20169"
419899,"Fairfax Farmers Market","3730 Old Lee Highway","","Fairfax","Fairfax City","Virginia",22030,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Fairfax","Virginia",NA,"","Farmers Market","Mar 27 2009 12:37:15:643PM","May 21 2010 12:51:55:000PM","3730 Old Lee Highway Fairfax Virginia 22030"
3623993,"Falls Church Farmers Market","300 Park Avenue","","Falls Church","Fairfax","Virginia",22046,"7032485027","","","Falls Church","Virginia",NA,"hherman@fallschurchva.gov","Farmers Market","Jul  2 2015 10:14:05:127AM","Jul  2 2015 10:20:45:000AM","300 Park Avenue Falls Church Virginia 22046"
4913765,"FRESHFARM Ballston","901 North Taylor Street","","Arlington","Arlington","Virginia",22203,"2023628889","","","Arlington","Virginia",NA,"","Farmers Market","Jul 31 2017 12:06:17:060PM","Jul 31 2017 12:07:48:000PM","901 North Taylor Street Arlington Virginia 22203"
4913763,"FRESHFARM Crystal City","1965 Crystal Drive","","Arlington","Arlington","Virginia",22202,"2023628889","","","Arlington","Virginia",NA,"","Farmers Market","Jul 31 2017 11:38:56:040AM","Jul 31 2017 12:09:19:000PM","1965 Crystal Drive Arlington Virginia 22202"
4913764,"FRESHFARM Rosslyn","1201 Wilson Blvd","","Arlington","Arlington","Virginia",22209,"2023628889","","","Arlington","Virginia",NA,"","Farmers Market","Jul 31 2017 11:47:10:670AM","Jul 31 2017 12:09:39:000PM","1201 Wilson Blvd Arlington Virginia 22209"
419900,"Frying Pay Park Farmers Market","2709 W. Ox Road","","Herndon","Fairfax","Virginia",20171,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Herndon","Virginia",NA,"","Farmers Market","Mar 27 2009 12:39:42:200PM","May 21 2010 01:20:21:000PM","2709 W. Ox Road Herndon Virginia 20171"
